,features,label
280,"[1.0,735920.0,735921.0,1.0,106.0]",1.0
281,"[3.0,735803.0,735828.0,25.0,34.0]",2.0
282,"[5.0,735835.0,735862.0,27.0,13.0]",1.0
283,"[0.0,735903.0,735906.0,3.0,34.0]",1.0
284,"[1.0,735871.0,735872.0,1.0,148.0]",0.0
285,"[6.0,735885.0,735889.0,4.0,9.0]",0.0
286,"[6.0,735892.0,735917.0,25.0,38.0]",0.0
287,"[6.0,735837.0,735854.0,17.0,1.0]",0.0
288,"[3.0,735919.0,735926.0,7.0,22.0]",2.0
289,"[6.0,735812.0,735840.0,28.0,57.0]",2.0
290,"[6.0,735856.0,735882.0,26.0,195.0]",0.0
291,"[2.0,735948.0,735971.0,23.0,23.0]",2.0
292,"[6.0,735908.0,735931.0,23.0,44.0]",0.0
293,"[0.0,735851.0,735871.0,20.0,47.0]",0.0
294,"[2.0,735892.0,735894.0,2.0,35.0]",1.0
295,"[5.0,735855.0,735883.0,28.0,127.0]",2.0
296,"[3.0,735827.0,735835.0,8.0,35.0]",2.0
297,"[3.0,735831.0,735842.0,11.0,38.0]",1.0
298,"[4.0,735949.0,735958.0,9.0,52.0]",3.0
299,"[3.0,735946.0,735961.0,15.0,263.0]",2.0
300,"[6.0,735851.0,735861.0,10.0,111.0]",2.0
301,"[3.0,735872.0,735891.0,19.0,29.0]",1.0
302,"[1.0,735905.0,735921.0,16.0,2.0]",1.0
303,"[2.0,735885.0,735901.0,16.0,48.0]",1.0
304,"[6.0,735827.0,735847.0,20.0,154.0]",2.0
305,"[6.0,735838.0,735847.0,9.0,90.0]",3.0
306,"[5.0,735952.0,735960.0,8.0,79.0]",2.0
307,"[2.0,735959.0,735985.0,26.0,66.0]",0.0
308,"[0.0,735876.0,735899.0,23.0,26.0]",1.0
309,"[2.0,735864.0,735866.0,2.0,18.0]",2.0
310,"[5.0,735923.0,735953.0,30.0,130.0]",3.0
311,"[2.0,735814.0,735838.0,24.0,16.0]",0.0
312,"[5.0,735823.0,735834.0,11.0,33.0]",2.0
313,"[4.0,735808.0,735811.0,3.0,27.0]",0.0
314,"[0.0,735827.0,735857.0,30.0,146.0]",3.0
315,"[0.0,735831.0,735857.0,26.0,224.0]",1.0
316,"[6.0,735949.0,735959.0,10.0,61.0]",0.0
317,"[0.0,735838.0,735864.0,26.0,76.0]",3.0
318,"[2.0,735884.0,735901.0,17.0,81.0]",3.0
319,"[0.0,735840.0,735850.0,10.0,29.0]",1.0
320,"[1.0,735877.0,735907.0,30.0,48.0]",0.0
321,"[0.0,735859.0,735871.0,12.0,118.0]",1.0
